marke,name,typ,liege_l_cm,liege_b_cm,packhoehe_cm,gewicht_kg,quelle,quelle_typ
Autohome,Autohome AirPass View small / carbon,hartschale,205,125,25,60.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-view/,dealer
Autohome,Autohome AirTop Large,hartschale,205,160,33,72.0,https://www.autohome-official.com/en/products/airtop-roof-top-tent/airtop/,series
Autohome,Autohome AirTop Medium,hartschale,200,140,33,60.0,https://www.autohome-official.com/en/products/airtop-roof-top-tent/airtop/,series
Autohome,Autohome AirTop Plus Large,hartschale,205,160,33,72.0,https://shop.autohome-official.com/en/airtop-range/54-airtop-plus.html,series
Autohome,Autohome AirTop Plus Medium,hartschale,200,140,33,60.0,https://shop.autohome-official.com/en/airtop-range/54-airtop-plus.html,series
Autohome,Autohome AirTop Plus Small,hartschale,200,125,33,56.0,https://shop.autohome-official.com/en/airtop-range/54-airtop-plus.html,series
Autohome,Autohome AirTop Small,hartschale,200,125,33,56.0,https://www.autohome-official.com/en/products/airtop-roof-top-tent/airtop/,series
Autohome,Autohome Airpass Large,hartschale,200,155,25,77.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass/,dealer
Autohome,Autohome Airpass Large /,hartschale,200,155,25,77.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass/,dealer
Autohome,Autohome Airpass Medium,hartschale,200,140,25,65.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass/,dealer
Autohome,Autohome Airpass Medium /,hartschale,200,140,25,65.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass/,dealer
Autohome,Autohome Airpass Small /,hartschale,200,125,25,60.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass/,dealer
Autohome,Autohome Airpass Variant Large,hartschale,200,155,25,77.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Large /,hartschale,200,155,25,77.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Medium,hartschale,200,140,25,65.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Medium /,hartschale,200,140,25,65.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Medium / X Long,hartschale,220,140,25,71.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Medium X Long,hartschale,220,140,25,71.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Small,hartschale,205,125,25,59.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Small /,hartschale,200,125,25,59.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Small / X Long,hartschale,220,125,25,64.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airpass Variant Small X Long,hartschale,220,125,25,64.0,https://www.dachzelt-shop.de/airpass-by-autohome/airpass-variant/,dealer
Autohome,Autohome Airtop 360 large,hartschale,205,160,33,72.0,https://shop.autohome-official.com/en/airtop-range/70-airtop360.html,series
Autohome,Autohome Airtop 360 medium,hartschale,200,140,33,60.0,https://shop.autohome-official.com/en/airtop-range/70-airtop360.html,series
Autohome,Autohome Airtop 360 small,hartschale,200,125,33,56.0,https://shop.autohome-official.com/en/airtop-range/70-airtop360.html,series
Autohome,Autohome Columbus Carbon Fiber Medium,hartschale,200,140,30,55.0,https://shop.autohome-official.com/de/uebersicht-auswahl-columbus/17-columbus-carbon-fiber.html,series
Autohome,Autohome Columbus Carbon Fiber Small,hartschale,200,125,30,49.0,https://shop.autohome-official.com/de/uebersicht-auswahl-columbus/17-columbus-carbon-fiber.html,series
Autohome,Autohome Columbus Land Rover Small X-Long,hartschale,205,125,30,58.0,https://shop.autohome-official.com/en/columbus-range/101-autohome-x-land-rover.html,series
Autohome,Autohome Columbus Variant Large,hartschale,205,160,30,77.0,https://shop.autohome-official.com/en/columbus-range/7-columbus-variant.html,series
Autohome,Autohome Columbus Variant Medium,hartschale,200,140,30,60.0,https://shop.autohome-official.com/en/columbus-range/7-columbus-variant.html,series
Autohome,Autohome Columbus Variant Medium X-Long,hartschale,220,140,30,67.0,https://shop.autohome-official.com/en/columbus-range/7-columbus-variant.html,series
Autohome,Autohome Columbus Variant Small,hartschale,200,125,30,56.0,https://shop.autohome-official.com/en/columbus-range/7-columbus-variant.html,series
Autohome,Autohome Columbus Variant Small X-Long,hartschale,220,125,30,58.0,https://shop.autohome-official.com/en/columbus-range/7-columbus-variant.html,series
Autohome,Autohome Columbus Variant X-Large X-Long,hartschale,220,175,30,93.0,https://shop.autohome-official.com/en/columbus-range/7-columbus-variant.html,series
Autohome,Autohome Extreme-Cargo medium,hartschale,205,140,33,68.0,https://shop.autohome-official.com/en/maggiolina-range/155-extreme-cargo-360.html,series
Autohome,Autohome Extreme-Cargo small,hartschale,205,125,33,64.0,https://shop.autohome-official.com/en/maggiolina-range/155-extreme-cargo-360.html,series
Autohome,Autohome Maggiolina Air-Sky 360° Large,hartschale,195,160,35,85.0,https://shop.autohome-official.com/en/maggiolina-range/129-air-sky-360.html,series
Autohome,Autohome Maggiolina Air-Sky 360° Large X-Long,hartschale,215,160,35,92.0,https://shop.autohome-official.com/en/maggiolina-range/129-air-sky-360.html,series
Autohome,Autohome Maggiolina Air-Sky 360° Medium,hartschale,190,140,35,73.0,https://shop.autohome-official.com/en/maggiolina-range/129-air-sky-360.html,series
Autohome,Autohome Maggiolina Air-Sky 360° Medium X-long,hartschale,210,140,35,82.0,https://shop.autohome-official.com/en/maggiolina-range/129-air-sky-360.html,series
Autohome,Autohome Maggiolina Air-Sky 360° Small,hartschale,190,125,35,67.0,https://shop.autohome-official.com/en/maggiolina-range/129-air-sky-360.html,series
Autohome,Autohome Maggiolina Air-Sky 360° Small X-long,hartschale,210,125,35,72.0,https://shop.autohome-official.com/en/maggiolina-range/129-air-sky-360.html,series
Autohome,Autohome Maggiolina Airlander Plus 360,hartschale,210,175,30,90.0,https://shop.autohome-official.com/en/maggiolina-range/159-airlander-plus-360.html,series
Autohome,Autohome Maggiolina Airlander Plus Large,hartschale,195,160,30,77.0,https://shop.autohome-official.com/en/maggiolina-range/107-maggiolinaairlanderplus.html,series
Autohome,Autohome Maggiolina Airlander Plus Medium,hartschale,190,140,30,64.0,https://shop.autohome-official.com/en/maggiolina-range/107-maggiolinaairlanderplus.html,series
Autohome,Autohome Maggiolina Airlander Plus Medium X-Long,hartschale,210,140,30,70.0,https://shop.autohome-official.com/en/maggiolina-range/107-maggiolinaairlanderplus.html,series
Autohome,Autohome Maggiolina Airlander Plus Small,hartschale,190,125,30,59.0,https://shop.autohome-official.com/en/maggiolina-range/107-maggiolinaairlanderplus.html,series
Autohome,Autohome Maggiolina Airlander Plus Small X-Long,hartschale,210,125,30,65.0,https://shop.autohome-official.com/en/maggiolina-range/107-maggiolinaairlanderplus.html,series
Autohome,Autohome Maggiolina Carbon Fiber Medium,hartschale,190,140,30,57.0,https://shop.autohome-official.com/en/maggiolina-range/5-maggiolina-carbon-fiber.html,series
Autohome,Autohome Maggiolina Carbon Fiber Small,hartschale,190,125,30,51.0,https://shop.autohome-official.com/en/maggiolina-range/5-maggiolina-carbon-fiber.html,series
Autohome,Autohome Maggiolina Extreme Medium,hartschale,190,140,33,68.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-extreme/,series
Autohome,Autohome Maggiolina Extreme Small,hartschale,190,125,33,70.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-extreme/,series
Autohome,Autohome Maggiolina Grand Tour 360° large,hartschale,195,160,36,76.0,https://shop.autohome-official.com/en/maggiolina-range/71-maggiolina-grand-tour-360.html,series
Autohome,Autohome Maggiolina Grand Tour 360° large x-long,hartschale,215,160,36,84.0,https://shop.autohome-official.com/en/maggiolina-range/71-maggiolina-grand-tour-360.html,series
Autohome,Autohome Maggiolina Grand Tour 360° medium,hartschale,190,140,36,68.0,https://shop.autohome-official.com/en/maggiolina-range/71-maggiolina-grand-tour-360.html,series
Autohome,Autohome Maggiolina Grand Tour 360° medium x-long,hartschale,210,140,36,71.0,https://shop.autohome-official.com/en/maggiolina-range/71-maggiolina-grand-tour-360.html,series
Autohome,Autohome Maggiolina Grand Tour 360° small,hartschale,190,125,36,60.0,https://shop.autohome-official.com/en/maggiolina-range/71-maggiolina-grand-tour-360.html,series
Autohome,Autohome Maggiolina Grand Tour 360° small x-long,hartschale,210,125,36,69.0,https://shop.autohome-official.com/en/maggiolina-range/71-maggiolina-grand-tour-360.html,series
Autohome,Autohome Maggiolina Grand Tour Large,hartschale,195,160,36,85.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-grand-tour/,series
Autohome,Autohome Maggiolina Grand Tour Large X-Long,hartschale,210,160,36,92.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-grand-tour/,series
Autohome,Autohome Maggiolina Grand Tour Medium,hartschale,190,140,36,72.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-grand-tour/,series
Autohome,Autohome Maggiolina Grand Tour Medium X-Long,hartschale,210,140,36,79.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-grand-tour/,series
Autohome,Autohome Maggiolina Grand Tour Small,hartschale,190,125,36,67.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-grand-tour/,series
Autohome,Autohome Maggiolina Grand Tour Small X-Long,hartschale,210,125,36,73.0,https://www.autohome-official.com/en/products/maggiolina-roof-top-tent/maggiolina-grand-tour/,series
Autohome,Autohome Nomadland 2.0 Large,softshell,220,180,35,69.0,https://shop.autohome-official.com/en/entry-level/131-nomadland-2.html,series
Autohome,Autohome Nomadland 2.0 Medium,softshell,220,160,35,63.0,https://shop.autohome-official.com/en/entry-level/131-nomadland-2.html,series
Autohome,Autohome Nomadland 2.0 Small,softshell,220,130,35,54.0,https://shop.autohome-official.com/en/entry-level/131-nomadland-2.html,series
Autohome,Autohome Nomadland 3.0 medium,hartschale,210,155,25,65.0,https://shop.autohome-official.com/en/entry-level/154-nomadland-3.html,series
Autohome,Autohome Nomadland 3.0 small,hartschale,210,125,25,60.0,https://shop.autohome-official.com/en/entry-level/154-nomadland-3.html,series
Autohome,Autohome Overcamp Large,softshell,200,180,35,66.0,https://shop.autohome-official.com/en/nino-cirani-range/12-overcamp.html,series
Autohome,Autohome Overcamp Small,softshell,200,130,35,54.0,https://shop.autohome-official.com/en/nino-cirani-range/12-overcamp.html,series
Autohome,Autohome Overland Large,softshell,220,180,35,69.0,https://shop.autohome-official.com/en/nino-cirani-range/16-overland.html,series
Autohome,Autohome Overland Medium,softshell,220,160,35,63.0,https://shop.autohome-official.com/en/nino-cirani-range/16-overland.html,series
Autohome,Autohome Overland Small,softshell,220,130,35,54.0,https://shop.autohome-official.com/en/nino-cirani-range/16-overland.html,series
Autohome,Autohome Overzone Large,softshell,220,180,35,74.0,https://shop.autohome-official.com/en/nino-cirani-range/11-ovezone.html,series
Autohome,Autohome Overzone Medium,softshell,220,160,35,65.0,https://shop.autohome-official.com/en/nino-cirani-range/11-ovezone.html,series
Autohome,Autohome Overzone Small,softshell,220,130,35,54.0,https://shop.autohome-official.com/en/nino-cirani-range/11-ovezone.html,series
Beduin,Beduin Tents Classic 130,softshell,200,125,30,40.0,https://www.beduin-tents.com/produkte/classic/,series
Beduin,Beduin Tents Classic 170,softshell,200,165,30,48.0,https://www.beduin-tents.com/produkte/classic/,series
Beduin,Beduin Tents Classic 190,softshell,200,185,30,58.0,https://www.beduin-tents.com/produkte/classic/,series
Beduin,Beduin Tents Comfort 130,softshell,200,125,30,50.0,https://www.beduin-tents.com/produkte/comfort/,series
Beduin,Beduin Tents Comfort 170,softshell,200,165,30,60.0,https://www.beduin-tents.com/produkte/comfort/,series
Beduin,Beduin Tents Comfort 190,softshell,200,185,30,70.0,https://www.beduin-tents.com/produkte/comfort/,series
Belluna,Belluna Alexander von Humboldt,hartschale,205,125,17,55.0,https://belluna.eu/shop/dachzelt-alexander-von-humboldt-220x134-cm-2/,high
Belluna,Belluna Georg Forster,hartschale,205,125,22,55.0,https://belluna.eu/shop/dachzelt-georg-forster-220x134-cm/,high
Belluna,Belluna Hans Meyer,hartschale,205,123,25,59.0,https://belluna.eu/shop/dachzelt-hans-meyer-210x120cm/,high
Belluna,Belluna Marco Polo,hartschale,205,120,17,55.0,https://belluna.eu/shop/dachzelt-marco-polo/,high
Berger,Berger CampLodge 120,softshell,210,120,37,50.0,https://www.fritz-berger.de/artikel/berger-camplodge-120-klapp-dachzelt-fuer-2-personen-liegeflaeche-210-x-120-cm-400267,high
Berger,Berger SkyLodge 160,softshell,210,155,37,51.0,https://www.fritz-berger.de/artikel/berger-skylodge-160-klapp-dachzelt-fuer-2-3-personen-liegeflaeche-210-x-160-cm-481284,high
BIA Outdoor,BIA Outdoor Hartschalendachzelt Gerald,hartschale,205,125,17,70.0,https://bia-outdoor.com/products/hartschalendachzelte-gerald,high
BIA Outdoor,BIA Outdoor Hartschalendachzelt Robert,hartschale,205,125,17,72.0,https://bia-outdoor.com/products/hartschalendachzelt-robert,high
boote und mehr,boote und mehr Autodachzelt (Aluminium),hybrid,200,175,18,104.0,https://www.booteundmehr.shop/dachzelte,series
boote und mehr,boote und mehr Dachzelt Vertikal Lift 2.1 (ABS),hartschale,208,126,32,79.0,https://www.booteundmehr.shop/product-page/hartschalen-dachzelt-autodachzelt-vertical-lift-2-1-m-abs-abdeckung,high
boote und mehr,boote und mehr Dachzelt Vertikal Lift 2.1 (Alu),hartschale,210,130,18,80.0,https://www.booteundmehr.shop/product-page/aluminium-dachzelt-vertical-lift-21-m,high
boote und mehr,boote und mehr Triangle 210,hartschale,205,122,18,76.0,https://www.booteundmehr.shop/product-page/aluminium-dachzelt-triangle-210,high
BRAGUSCAMP,BRAGUSCAMP IGLOO,softshell,200,125,21,42.0,https://braguscamp.com/de/autodachzelt/dachzelt-modell-igloo-braguscamp,high
BRAGUSCAMP,BRAGUSCAMP NOMAD PRO V3,hartschale,208,128,21,59.0,https://braguscamp.com/de/autodachzelt/braguscamp-nomad-pro-dachzelt-v3-aus-aluminium-und-wasserdicht,high
BRAGUSCAMP,BRAGUSCAMP XPLORER 135,hartschale,200,125,19,63.0,https://braguscamp.com/de/autodachzelt/dachzelt-xplorer-218135165cm-braguscamp-aluminium,high
BRAGUSCAMP,BRAGUSCAMP XPLORER 145,hartschale,200,125,19,60.0,https://braguscamp.com/de/autodachzelt/dachzelt-xplorer-145cm-aluminium-braguscamp,high
Bundutec,Bundutec Bundutop King,hartschale,205,155,30,85.0,https://bundutec.co.uk/bundutop/,series
Bundutec,Bundutec Bundutop Standard,hartschale,205,130,30,80.0,https://bundutec.co.uk/bundutop/,series
Campelot,Campelot Merlin 140,softshell,240,140,29,55.0,https://campelot.de/produkt/dachzelt-merlin-140/,high
Campelot,Campelot Merlin 140 kompakt,softshell,240,140,29,48.0,https://campelot.de/produkt/dachzelt-merlin-140-kompakt/,high
Campelot,Campelot Merlin 160,softshell,240,160,29,65.0,https://campelot.de/produkt/dachzelt-merlin-160/,high
Campelot,Campelot Merlin 190,softshell,240,190,29,74.0,https://campelot.de/produkt/dachzelt-merlin-190/,high
Camper’s Delight,Camper’s Delight AeroSummit Fold #3,hybrid,200,130,25,80.0,https://campers-delight.de/Hybriddachzelt-Aluminium-2-Personen-AeroSummit-Fold,high
Camper’s Delight,Camper’s Delight AeroSummit Lift #1,hartschale,200,120,18,82.0,https://campers-delight.de/Dachzelt-Aluminium-2-Personen-AeroSummit-Lift,high
Camper’s Delight,Camper’s Delight AeroSummit Light #2,hartschale,196,120,18,65.0,https://campers-delight.de/Dachzelt-Aluminium-2-Personen,high
CAMPJunkie,CAMPJunkie Premium 165,softshell,240,160,38,68.0,https://www.campjunkie.de/dachzelt-shop/,series
CAMPJunkie,CAMPJunkie Premium Edition,softshell,240,140,38,57.0,https://www.campjunkie.de/app/module/webproduct/goto/m/m031db2817fb8f950,high
CAMPJunkie,CAMPJunkie Standard Edition,softshell,240,140,38,56.0,https://www.campjunkie.de/dachzelt-shop/,series
CAMPWERK,CAMPWERK Adventure 140,softshell,240,138,35,60.0,https://www.campwerk.de/shop/dachzelte/alle-dachzelte/adventure-dachzelt/,series
CAMPWERK,CAMPWERK Adventure 165,softshell,240,163,35,68.0,https://www.campwerk.de/shop/dachzelte/alle-dachzelte/adventure-dachzelt/,series
CAMPWERK,CAMPWERK Good Vibes,hartschale,200,133,34,68.0,https://shop.campwerk.de/goodvibes-hartschale-dachzelt,high
Carryboy,Carryboy Dachzelt CB-102-2P,softshell,210,130,30,56.0,https://www.carryboy.de/en/Carryboy-roof-tent-for-2-3-people-Series-1,high
