marke,name,laenge_cm,breite_cm,hoehe_cm,volumen_l,gewicht_kg,max_zuladung_kg,quelle,confidence
Kamei,Kamei Husky 620,232,90,44,620,21,75,https://www.kamei.de/produkte/details/08162001-dachbox-husky-620-schwarz-matt,high
Kamei,Kamei Oyster 450,206,95,36,450,21,75,https://www.kamei.de/produkte/details/08139121-dachbox-oyster-450-schwarz-hochglaenzend,high
LEVUP,LEVUP Cube 470,190,78,36,470,15,75,https://www.bertelshofer.com/dachbox/levup-dachbox-cube-470-schwarz-matt-355966-bs-14.html,medium
LEVUP,LEVUP Space 330,136,78,39.5,330,10,75,https://www.bertelshofer.com/dachbox/levup-dachbox-space-330-schwarz-glaenzend-355661-bs-14.html,medium
LEVUP,LEVUP Space 430 Duo,190,78,39.5,430,15,75,https://www.bertelshofer.com/dachbox/levup-dachbox-space-430-duo-schwarz-glaenzend-355722-bs-14.html,medium
LEVUP,LEVUP Space 530 Duo,201,89,41,530,17,75,https://www.transportsysteme24.de/dachbox/levup-dachbox-space-530-duo-schwarz-glaenzend-t24355783-ts24-14.html,medium
LEVUP,LEVUP Space 630 Duo,201,89,46,630,19,75,https://www.bertelshofer.com/dachbox/levup-dachbox-space-630-duo-schwarz-glaenzend-355844-bs-14.html,medium
Menabo,Menabo Diamond 450,163,90.7,36,450,14.2,75,https://d1blekj7w4kc3j.cloudfront.net/files/catalogue/products/Data-Sheet-Menabo-Diamond-Roof-Box.pdf,high
Menabo,Menabo Diamond 500,209,79,36.6,500,16.4,75,https://d1blekj7w4kc3j.cloudfront.net/files/catalogue/products/Data-Sheet-Menabo-Diamond-Roof-Box.pdf,high
Menabo,Menabo Mania 320,137,79,36,320,8.2,50,https://menabo.com.gr/wp-content/uploads/2024/03/MANIA_320_data_sheet.pdf,high
Menabo,Menabo Mania 400,164,79,36,400,15,75,https://menabo.com.gr/wp-content/uploads/2024/03/MANIA_400_460_data_sheet.pdf,high
Menabo,Menabo Mania 460,195,79,36,460,17,75,https://menabo.com.gr/wp-content/uploads/2024/03/MANIA_400_460_data_sheet.pdf,high
Menabo,Menabo Mania 580,225,89,36,580,20,75,https://spcshop.ch/en/products/menabo-dachbox-mania-580-schwarz-2250x360x890mm-dachbox-mania-580-schwarz,medium
Modula,Modula Beluga XL 460,156,90,45,460,,75,https://www.modulacs.com/en/prodotti/roof-boxes/beluga/,high
Modula,Modula Ciao 310,126,78,35,310,,75,https://www.modulacs.com/en/prodotti/roof-boxes/ciao/,high
Modula,Modula Ciao 340,140,80,44,340,,75,https://www.modulacs.com/en/prodotti/roof-boxes/ciao/,high
Modula,Modula Ciao 430,175,80,44,430,12.4,75,https://www.modulacs.com/en/prodotti/roof-boxes/ciao/,medium
Modula,Modula Ciao 580,220,92,44,580,,75,https://www.modulacs.com/en/prodotti/roof-boxes/ciao/,high
Modula,Modula Evo 400,165,90,41,400,,75,https://www.modulacs.com/en/prodotti/roof-boxes/evo/,high
Modula,Modula Evo 470,186,90,43,470,,75,https://www.modulacs.com/en/prodotti/roof-boxes/evo/,high
Modula,Modula Evo 550,206,90,47,550,,75,https://www.modulacs.com/en/prodotti/roof-boxes/evo/,high
Modula,Modula Falcon 400,165,90,39,400,,75,https://www.modulacs.com/en/prodotti/roof-boxes/falcon/,high
Modula,Modula Falcon 470,186,90,40,470,,75,https://www.modulacs.com/en/prodotti/roof-boxes/falcon/,high
Modula,Modula Falcon 550,206,90,43,550,,75,https://www.modulacs.com/en/prodotti/roof-boxes/falcon/,high
Modula,Modula Wego 450,175,82,46,450,,75,https://www.modulacs.com/en/prodotti/roof-boxes/wego/,high
